ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE,G_LOCATION,G_LAT,G_LNG
7216311,1800,3,,,259000,10/17/2017,40.0,1.0,House,1800    Peutie ,Vilvoorde,"1800 Peutie, Belgium",50.927361,4.455442
7214816,1800,3,158.0,424.0,429000,10/17/2017,,,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
7214473,1800,3,147.0,228.0,359000,10/17/2017,,,House,Sint  annalaan  198 1800    Vilvoorde  Koningslo ,Vilvoorde,"Sint Anna Laan 198, 1800 Vilvoorde, Belgium",50.9093677,4.3656683
7213203,1800,3,,240.0,0,10/16/2017,,,Building,Vlierkensstraat  46 1800    Vilvorde ,Vilvoorde,"Vlierkensstraat 46, 1800 Vilvoorde, Belgium",50.9241018,4.4110423
7213134,1800,3,,,220000,10/16/2017,,,House,Lindenstraat  13 1800    Peutie ,Vilvoorde,"Lindenstraat 13, 1800 Vilvoorde, Belgium",50.9285006,4.4525181
7212669,1800,3,190.0,275.0,329000,10/16/2017,,,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
7212344,1800,3,130.0,190.0,255000,10/15/2017,64.0,0.0,House,Steevoortstraat   1800    Vilvoorde ,Vilvoorde,"Steevoortstraat, 1800 Vilvoorde, Belgium",50.92713,4.44651
7210764,1800,3,160.0,261.0,299000,10/13/2017,884.0,19.0,House,Borghtstraat  227 1800    Vilvoorde ,Vilvoorde,"Borghtstraat 227, 1800 Vilvoorde, Belgium",50.9270841,4.4127113
7210066,1800,4,220.0,1250.0,569000,10/13/2017,449.0,1.0,House,asterstraat   1800    Vilvoorde ,Vilvoorde,"Asterstraat 19, 1800 Vilvoorde, Belgium",50.93152,4.44656
7209239,1800,3,110.0,183.0,274000,10/13/2017,491.0,1.0,House,Olmstraat  200 1800    Vilvoorde ,Vilvoorde,"Olmstraat 200, 1800 Vilvoorde, Belgium",50.9329822,4.4362837
7208114,1800,3,110.0,1011.0,210000,10/12/2017,502.0,0.0,House,Aarschotsestraat  133   1800    Peutie ,Vilvoorde,"Aarschotsestraat 133, 1800 Vilvoorde, Belgium",50.9263951,4.4581224
7201110,1800,3,135.0,165.0,287000,10/7/2017,67.0,0.0,House,Vinkenlaan  99 1800    Koningsloo ,Vilvoorde,"Vinkenlaan 99, 1800 Vilvoorde, Belgium",50.9136035,4.3785827
7201046,1800,3,175.0,300.0,425000,10/7/2017,193.0,5.0,House,Grimbergsesteenweg  164 1800    Vilvoorde ,Vilvoorde,"Grimbergsesteenweg 164, 1800 Vilvoorde, Belgium",50.9253108,4.4094984
7200124,1800,3,180.0,128.0,209000,10/6/2017,,,Apartment,Chauss  romaine  318 1800    Koningslo ,Vilvoorde,"Romeinsesteenweg, 1800 Vilvoorde, Belgium",50.9064653,4.3805
7198484,1800,4,205.0,392.0,399000,10/6/2017,123.0,1.0,House,Mutsaertplaats  17 1800    Vilvoorde  Koningslo ,Vilvoorde,"Mutsaertplaats 17, 1853 Grimbergen, Belgium",50.9021314,4.3613219
7198339,1800,3,130.0,283.0,314000,10/6/2017,393.0,10.0,House,Sperwerlaan  10 1800    Vilvoorde  Koningslo ,Vilvoorde,"Sperwerlaan 10, 1800 Vilvoorde, Belgium",50.9114598,4.3756564
7194771,1800,3,220.0,,420000,10/4/2017,37.0,2.0,House,1800    Vilvoorde  Houtem ,Vilvoorde,"Vilvoorde, Belgium",50.9272511,4.4257868
7194390,1800,3,205.0,392.0,399000,10/4/2017,175.0,0.0,House,Mutsaertplaats  17 1800    Vilvoorde  Koningslo ,Vilvoorde,"Mutsaertplaats 17, 1853 Grimbergen, Belgium",50.9021314,4.3613219
7194188,1800,3,124.0,200.0,269000,10/3/2017,,,House,Breemputstraat  22 1800    Vilvoorde ,Vilvoorde,"Breemputstraat 22, 1800 Vilvoorde, Belgium",50.9246659,4.4088202
7192000,1800,3,,630.0,420000,10/2/2017,37.0,1.0,House,Penarroyalaan    box1800 1800    Vilvoorde ,Vilvoorde,,,
7191150,1800,3,,219.0,83000,10/2/2017,227.0,4.0,House,David  Teniersstraat  143 1800    Vilvorde ,Vilvoorde,"David Teniersstraat 143, 1800 Vilvoorde, Belgium",50.9216581,4.4101885
7191129,1800,3,,179.0,94000,10/2/2017,210.0,2.0,House,Wijnputvoetweg  42 1800    Vilvorde ,Vilvoorde,"Wijnputvoetweg 42, 1800 Vilvoorde, Belgium",50.9448196,4.4713505
7191113,1800,3,,177.0,93000,10/2/2017,170.0,2.0,House,Wijnputvoetweg  32 1800    Vilvorde ,Vilvoorde,"Wijnputvoetweg 32, 1800 Vilvoorde, Belgium",50.944708,4.4706922
7190271,1800,3,,70.0,249000,10/1/2017,594.0,4.0,House,Marius  Duchstraat  157   1800    Vilvoorde ,Vilvoorde,"Marius Duchéstraat 157, 1800 Vilvoorde, Belgium",50.9339803,4.4190201
7189362,1800,3,310.0,147.0,475000,10/4/2017,68.0,0.0,House,Statiolei  50 1800    Vilvoorde ,Vilvoorde,,,
7188289,1800,4,165.0,115.0,299000,9/30/2017,,,House,Spuymolenstraat  118 1800    Vilvoorde ,Vilvoorde,"Spuymolenstraat 118, 1800 Vilvoorde, Belgium",50.9300761,4.4180941
7188259,1800,3,158.0,90.0,225000,9/29/2017,,,House,Tuchthuisstraat  92 1800    Vilvoorde ,Vilvoorde,"Tuchthuisstraat 92, 1800 Vilvoorde, Belgium",50.9240357,4.4247979
7187499,1800,4,213.0,860.0,369000,9/29/2017,,,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
7186828,1800,3,178.0,268.0,325000,9/29/2017,210.0,0.0,House,Arendlaan  69 1800    Koningslo  Vilvoorde ,Vilvoorde,"Arendlaan 69, 1800 Vilvoorde, Belgium",50.9087061,4.3661617
7186750,1800,3,200.0,350.0,275000,9/29/2017,296.0,5.0,House,Vijfhoekstraat  37 1800    Vilvoorde ,Vilvoorde,"Vijfhoekstraat 37, 1800 Vilvoorde, Belgium",50.9267027,4.4613201
7186387,1800,3,125.0,,297000,9/28/2017,,,House,Lindenstraat  87 1800    Peutie ,Vilvoorde,"Lindenstraat 87, 1800 Vilvoorde, Belgium",50.9281348,4.456445
7182454,1800,3,150.0,220.0,260000,9/26/2017,,,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
7180912,1800,5,600.0,30000.0,2090000,9/25/2017,41.0,0.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
7180184,1800,5,149.0,,175000,9/25/2017,273.0,5.0,House,Marius  Duchstraat  93 1800    Vilvoorde ,Vilvoorde,"Marius Duchéstraat 93, 1800 Vilvoorde, Belgium",50.9331253,4.4206824
7179656,1800,3,160.0,,360000,9/25/2017,74.0,0.0,House,Davidstraat   1800    Vilvoorde ,Vilvoorde,"Davidstraat, 1800 Vilvoorde, Belgium",50.9358359,4.4273343
7178525,1800,3,95.0,,279000,9/23/2017,,,House,Blaesenbergstraat  72  box1 1800    Vilvoorde ,Vilvoorde,,,
7177305,1800,3,177.0,210.0,315000,9/22/2017,411.0,12.0,House,Lode  Sobrystraat  58 1800    Vilvoorde ,Vilvoorde,"Lode Sobrystraat 58, 1800 Vilvoorde, Belgium",50.9321901,4.4348765
7176747,1800,4,165.0,213.0,349000,9/22/2017,207.0,4.0,House,1800    Koningslo ,Vilvoorde,"Koningslo, 1800 Vilvoorde, Belgium",50.9062369,4.3794485
7174476,1800,3,95.0,,244000,9/21/2017,163.0,2.0,Apartment,Leuvensesteenweg  10223 1800    Vilvoorde ,Vilvoorde,"Leuvensesteenweg, 1800 Vilvoorde, Belgium",50.9267973,4.4444847
7173924,1800,3,150.0,260.0,280000,9/21/2017,329.0,3.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
