ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE,G_LOCATION,G_LAT,G_LNG
7218203,1020,4,200.0,60.0,275000,10/18/2017,,,House,Boulevard  du  jubil  99 1020    Laeken ,Laeken,"Jubelfeestlaan, Belgium",50.8698814,4.3428349
7213809,1020,3,160.0,,360000,10/16/2017,,,House,1020    Bruxelles   ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7211130,1020,4,205.0,392.0,399000,10/14/2017,363.0,7.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7211122,1020,4,245.0,450.0,485000,10/14/2017,583.0,12.0,House,Avenue  de  Versailles  70 1020    Laeken ,Laeken,"Avenue de Versailles 70, 1020 Bruxelles, Belgium",50.896254,4.3690613
7204558,1020,3,199.0,240.0,410000,10/10/2017,78.0,4.0,House,Niellonstraat   1020    Laeken ,Laeken,"Rue Niellon, 1020 Bruxelles, Belgium",50.8706481,4.3448469
7199600,1020,5,550.0,1642.0,1495000,10/6/2017,,,House,Avenue  de  Meysse  71 1020    Laeken ,Laeken,"Meiseselaan 71, 1020 Brussel, Belgium",50.8962037,4.3531228
7197817,1020,3,165.0,90.0,295000,10/5/2017,,,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7194386,1020,4,175.0,,349000,10/4/2017,217.0,14.0,Apartment,Avenue  Stinon  62 1020    Laeken ,Laeken,"Bill Stanton Community Park, Madison, OH 44057, USA",41.8210509,-81.090348
7185972,1020,4,220.0,150.0,420000,9/28/2017,,,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7181924,1020,3,125.0,,269000,9/26/2017,393.0,4.0,Apartment,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7181408,1020,3,150.0,480.0,375000,9/26/2017,,,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7179507,1020,3,,,0,9/25/2017,34.0,0.0,Apartment,Avenue  Mutsaard  73A 1020    Laeken ,Laeken,"Avenue Mutsaard 73A, 1020 Bruxelles, Belgium",50.9003679,4.3584866
7178471,1020,4,350.0,595.0,595000,9/23/2017,90.0,1.0,House,Haagwindenlaan    Avenue  des  Liserons  27 1020    Laeken ,Laeken,,,
7178384,1020,4,410.0,1700.0,895000,9/23/2017,79.0,1.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7177262,1020,3,140.0,110.0,330000,9/22/2017,300.0,6.0,House,RUE  STEYLS  77 1020    Laeken ,Laeken,"Rue Steyls 77, 1020 Bruxelles, Belgium",50.8789309,4.3412644
7175144,1020,3,169.0,,249000,9/21/2017,458.0,9.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7174962,1020,4,240.0,750.0,650000,9/21/2017,276.0,1.0,House,1020    LAEKEN  BRU ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7174958,1020,3,138.0,,444900,9/21/2017,129.0,0.0,House,1020    LAEKEN  BRU ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7171624,1020,4,135.0,81.0,280000,9/19/2017,1631.0,6.0,House,Chemin  des  Genets   1020    Laeken ,Laeken,"Bremweg, 1120 Brussel, Belgium",50.8947984,4.3690042
7167823,1020,5,220.0,265.0,415000,9/17/2017,1083.0,9.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7165768,1020,4,140.0,,270000,9/15/2017,,,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7164448,1020,4,390.0,,400000,9/14/2017,,,House,1020    LAEKEN  BRU ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7162503,1020,5,447.0,448.0,649000,9/13/2017,244.0,0.0,House,1020    LAEKEN  BRU ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7161131,1020,3,85.0,,255000,9/13/2017,426.0,13.0,House,Rue  de  Ciplet 1020    Bruxelles ,Laeken,"Rue de Ciplet, 1020 Bruxelles, Belgium",50.8732754,4.356974
7158871,1020,3,108.0,,285000,9/12/2017,157.0,5.0,Apartment,rue   Steyls  77 1020    Laeken ,Laeken,"Rue Steyls 77, 1020 Bruxelles, Belgium",50.8789309,4.3412644
7153211,1020,3,150.0,135.0,245000,9/8/2017,,,House,Rue  de  Ter  Plast  55 1020    Bruxelles ,Laeken,"Terplaststraat 55, 1020 Brussel, Belgium",50.8815373,4.3446128
7151836,1020,4,280.0,,370000,9/7/2017,,,Apartment,Rue  des  Palais  OutrePonts  424 1020    LAEKEN   BRU ,Laeken,"Rue des Palais Outre-Ponts 424, 1020 Bruxelles, Belgium",50.8763586,4.3606547
7148518,1020,3,300.0,150.0,400000,9/5/2017,204.0,3.0,House,Chs  de  Vilvoorde   1020    Laeken ,Laeken,"Vilvoordsesteenweg, 1020 Brussel, Belgium",50.877991,4.3656943
7148470,1020,3,185.0,50.0,280000,9/5/2017,232.0,0.0,Apartment,Rue  des  Palais  OutrePonts  349 1020    Laeken ,Laeken,"Rue des Palais Outre-Ponts 349, 1020 Bruxelles, Belgium",50.8741431,4.3601936
7146226,1020,3,120.0,,205000,9/4/2017,445.0,4.0,Apartment,Avenue  de  Arbre  Ballon  113 1020    Laeken ,Laeken,"Avenue de l'Arbre Ballon 113, 1020 Bruxelles, Belgium",50.8937926,4.3200567
7140929,1020,3,170.0,90.0,375000,9/1/2017,,,Apartment,1020     Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7137984,1020,4,201.0,,270000,8/30/2017,,,Apartment,Boulevard  Emile  Bockstael  335 1020    LAKEN ,Laeken,"Boulevard Emile Bockstael 335, 1020 Bruxelles, Belgium",50.882922,4.3463644
7132103,1020,3,103.0,,198500,8/25/2017,,,Apartment,1020    LAEKEN  BRU ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7132038,1020,4,330.0,,359000,8/25/2017,110.0,4.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7129070,1020,3,139.0,,265000,8/24/2017,,,Apartment,de  Smet  de  Nayer   1020    Laeken ,Laeken,"De Smet de Naeyerlaan, Belgium",50.8798046,4.3347584
7128899,1020,5,223.0,145.0,380000,8/24/2017,,,House,Rue  Leopold    287 1020    Laeken ,Laeken,"Rue Léopold I 287, 1020 Bruxelles, Belgium",50.8769745,4.3408977
7128239,1020,3,250.0,155.0,399000,8/23/2017,,,House,Rue  du  Heysel  84 1020    Laeken ,Laeken,"Rue du Heysel 84, 1020 Bruxelles, Belgium",50.8911502,4.3401423
7124013,1020,3,327.0,664.0,789000,8/21/2017,943.0,6.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7123020,1020,3,160.0,200.0,359000,8/20/2017,538.0,15.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7117993,1020,3,140.0,110.0,330000,8/16/2017,,,House,Rue  Steyls  77  boxF3 1020    Laeken ,Laeken,,,
7117582,1020,3,108.0,,285000,8/16/2017,,,Apartment,rue  Steyls  77 1020     Laeken ,Laeken,"Rue Steyls 77, 1020 Bruxelles, Belgium",50.8789309,4.3412644
7115904,1020,5,205.0,80.0,339000,8/14/2017,186.0,4.0,House,Rue  Stphanie  166 1020    Laeken ,Laeken,"Rue Stéphanie 166, 1020 Bruxelles, Belgium",50.8772451,4.3493832
7112946,1020,4,201.0,,270000,8/11/2017,,,Apartment,Boulevard  Emile  Bockstael  335 1020    Bruxelles ,Laeken,"Boulevard Emile Bockstael 335, 1020 Bruxelles, Belgium",50.882922,4.3463644
7112926,1020,5,305.0,332.0,585000,8/11/2017,,,House,,Laeken,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488
7105868,1020,3,110.0,,185000,8/7/2017,,,Apartment,Bvd  Emile  Bockstael  360 1020    Laeken ,Laeken,"Boulevard Emile Bockstael 360, 1020 Bruxelles, Belgium",50.8823718,4.3463094
7104576,1020,5,447.0,478.0,649000,8/5/2017,101.0,0.0,House,Neerleest   1020    Laeken ,Laeken,"Neerleest, 1020 Bruxelles, Belgium",50.8975229,4.3657291
7102854,1020,5,370.0,130.0,550000,8/4/2017,228.0,4.0,Apartment,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7102472,1020,4,280.0,200.0,455000,8/4/2017,111.0,4.0,Apartment,Rue  Ernest  Salu  93  box1020 1020    Laeken ,Laeken,,,
7100837,1020,4,300.0,,649000,8/3/2017,,,Apartment,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7098585,1020,5,250.0,140.0,550000,8/1/2017,243.0,6.0,House,Rue  de  Vrire  15 1020    Laeken ,Laeken,"Rue de Vrière 15, 1020 Bruxelles, Belgium",50.8817953,4.3507579
7094941,1020,5,350.0,802.0,795000,7/29/2017,545.0,8.0,House,Chauss  Romaine  481 1020    Laeken ,Laeken,"Romeinsesteenweg 481, 1020 Brussel, Belgium",50.9010456,4.3535047
7087830,1020,3,119.0,,232500,7/24/2017,114.0,2.0,Apartment,rue  Steyls  77 1020    Laeken ,Laeken,"Rue Steyls 77, 1020 Bruxelles, Belgium",50.8789309,4.3412644
7087721,1020,4,350.0,586.0,695000,7/24/2017,129.0,1.0,House,haagwindenlaan  27 1020    Laeken ,Laeken,"Haagwindenlaan 27, 1020 Brussel, Belgium",50.8977312,4.3708318
7076142,1020,4,240.0,262.0,295000,7/13/2017,,,House,rue  ReperVreven  99 1020    Laeken ,Laeken,"Reper-Vrevenstraat 99, 1020 Brussel, Belgium",50.8905287,4.3391056
7075178,1020,3,170.0,,340000,7/13/2017,233.0,6.0,House,1020     Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7072191,1020,3,235.0,322.0,485000,7/11/2017,344.0,4.0,House,Jean  De  Bolognelaan  75 1020    Laeken ,Laeken,"Jean de Bolognelaan 75, 1020 Brussel, Belgium",50.8979418,4.3614522
7071217,1020,5,235.0,180.0,349000,7/10/2017,655.0,12.0,Building,1020    Bruxelles2 ,Laeken,"Jean de Bolognelaan 75, 1020 Brussel, Belgium",50.8979418,4.3614522
7069271,1020,5,230.0,276.0,560000,7/8/2017,144.0,4.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7064468,1020,3,95.0,,199000,7/5/2017,598.0,6.0,House,Rue  du  Gaz  76 1020    Laeken ,Laeken,"Rue du Gaz 76, 1020 Bruxelles, Belgium",50.8816664,4.3397211
7063383,1020,3,96.0,,195000,7/4/2017,,,Apartment,1020    LAEKEN  BRU ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7058807,1020,4,275.0,235.0,375000,7/1/2017,838.0,2.0,House,1020    Bruxelles2 ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7055578,1020,4,201.0,,270000,6/29/2017,482.0,4.0,Apartment,Boulevard  Emile  Bockstael   335 1020    LAKEN ,Laeken,"Boulevard Emile Bockstael 335, 1020 Bruxelles, Belgium",50.882922,4.3463644
7050844,1020,3,190.0,140.0,235000,6/26/2017,1591.0,24.0,Apartment,1020    LAEKEN  BRU ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
7050545,1020,3,170.0,,349000,6/26/2017,339.0,1.0,House,1020    Laeken ,Laeken,"1020 Brussels, Belgium",50.884218,4.3580002
