ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE
7204959,"1000",2,100,,1600,10/10/2017,,,"House","Rue  Haute  192 1000    Brussels  City ","Ville de Bruxelles"
7203819,"1000",2,127,,1400,10/10/2017,45,1,"House","Avenue  du  Venezuela  21 1000    Bruxelles ","Ville de Bruxelles"
7200076,"1000",2,110,,1700,10/6/2017,,,"Apartment","Quai  du  Chantier   1000    BRUXELLES ","Ville de Bruxelles"
7198909,"1000",3,200,,1800,10/6/2017,,,"House","1000    BRUXELLES ","Ville de Bruxelles"
7198356,"1000",2,90,,1200,10/6/2017,60,1,"Apartment","Rue  de  la  violette  32 1000    Bruxelles ","Ville de Bruxelles"
7196450,"1000",3,185,,3000,10/5/2017,,,"Apartment","Rue  Des  petit  Carmes  24C68 1000    Brussels  City ","Ville de Bruxelles"
7195522,"1000",2,99,,1150,10/4/2017,,,"Apartment","1000    BRUXELLES ","Ville de Bruxelles"
7193431,"1000",5,300,250,2600,10/3/2017,,,"House","Square  des  Nations  12 1000    Brussels  City ","Ville de Bruxelles"
7193169,"1000",6,280,80,2300,10/3/2017,,,"House","1000     ","Ville de Bruxelles"
7190228,"1000",2,120,,1500,10/1/2017,214,2,"Apartment","Rue  des  Sables  27a 1000    Bruxelles  ville ","Ville de Bruxelles"
7189453,"1000",2,,140,1700,9/30/2017,,,"House","Rue  de  Namur  82 1000    Brussels  City ","Ville de Bruxelles"
7188742,"1000",3,130,,3000,9/30/2017,313,1,"Apartment","Square  MarieLouise  60 1000    Bruxelles ","Ville de Bruxelles"
7188227,"1000",3,300,,3000,9/29/2017,,,"House","Rue  des  Palais  42 1000    Bruxelles   ","Ville de Bruxelles"
7187705,"1000",2,90,,960,9/29/2017,,,"Apartment","Rue  Ernest  Allard  36 1000    Brussels  City ","Ville de Bruxelles"
7187374,"1000",2,123,,1300,9/29/2017,13,0,"Apartment","1000    BRUXELLES ","Ville de Bruxelles"
7187347,"1000",3,,,1650,9/29/2017,63,0,"House","1000    Bruxelles   ","Ville de Bruxelles"
7187306,"1000",5,257,,2200,9/29/2017,100,2,"House","Rue  du  Cardinal  49 1000    Bruxelles   ","Ville de Bruxelles"
7186891,"1000",2,120,,1500,9/29/2017,20,0,"Apartment","Rue  du  royal  164 1000    Bruxelles ","Ville de Bruxelles"
7185968,"1000",2,100,,1225,9/28/2017,51,0,"Apartment","Rue  de  la  Vall  67 1000    Bruxelles ","Ville de Bruxelles"
7185086,"1000",5,200,,2300,9/28/2017,,,"House","Titiaanstraat  21 1000    Brussels  City ","Ville de Bruxelles"
7185030,"1000",3,220,,2250,9/28/2017,,,"House","1000    Bruxelles ","Ville de Bruxelles"
7184911,"1000",2,108,,1700,9/28/2017,,,"Apartment","Rue  aux  Laines  19 1000    Bruxelles ","Ville de Bruxelles"
7184910,"1000",2,105,,1350,9/28/2017,,,"Apartment","Rue  de  la  Montagne  27 1000    Brussels  City ","Ville de Bruxelles"
7184687,"1000",2,85,,990,9/27/2017,,,"Apartment","Quai  des  niches  58 1000    Bruxelles ","Ville de Bruxelles"
7183628,"1000",3,150,30,1200,9/27/2017,,,"House","1000    Brussels  City ","Ville de Bruxelles"
7183534,"1000",4,170,38,5900,9/27/2017,,,"Building","Rue  des  Pierres  53 1000    Brussels  City ","Ville de Bruxelles"
7183512,"1000",3,200,260,1800,9/27/2017,,,"House","Reu   de  la  Senne  81 1000    Brussels  City ","Ville de Bruxelles"
7183449,"1000",2,120,,1800,9/27/2017,63,1,"Apartment","Square  MarieLouise  58 1000    Bruxelles ","Ville de Bruxelles"
7183111,"1000",2,123,,1580,9/27/2017,,,"Apartment","Quai  des  niches  69 1000    Bruxelles ","Ville de Bruxelles"
7183069,"1000",2,95,,1700,9/27/2017,,,"House","1000    Bruxelles ","Ville de Bruxelles"
7182613,"1000",2,116,,1350,9/26/2017,,,"Apartment","rue  Ernest  Allard  12 1000    Brussels  City ","Ville de Bruxelles"
7182538,"1000",3,330,120,4000,9/26/2017,,,"House","Rue  Ernest  Allard  43 1000    Bruxelles ","Ville de Bruxelles"
7181484,"1000",2,110,,1700,9/26/2017,,,"Apartment","Quai  du  chantier  51 1000    Bruxelles ","Ville de Bruxelles"
7181368,"1000",3,130,,1375,9/26/2017,426,3,"Apartment","1000     Bruxelles ","Ville de Bruxelles"
7181069,"1000",2,95,,1150,9/26/2017,0,0,"Apartment","Boulevard  Emile  Jacmain  13 1000    Bruxelles ","Ville de Bruxelles"
7176939,"1000",2,99,,1250,9/22/2017,44,0,"Apartment","1000    BRUXELLES ","Ville de Bruxelles"
7176319,"1000",2,100,51,1590,9/22/2017,136,1,"House","1000    Bruxelles ","Ville de Bruxelles"
7174960,"1000",5,355,,2480,9/21/2017,206,0,"House","Square  MarieLouise  68 1000    BRUXELLES ","Ville de Bruxelles"
7172823,"1000",2,117,,1800,9/20/2017,55,0,"Apartment","1000    BRUXELLES ","Ville de Bruxelles"
