ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE
7153975,"1000",6,350,178,645000,9/8/2017,,,"House","Rue  de  Gravelines  22 1000    Brussels  City ","Ville de Bruxelles"
7150543,"1000",3,167,,570000,9/6/2017,,,"Apartment","Quai  des  niches   69 1000    Bruxelles ","Ville de Bruxelles"
7150540,"1000",2,106,,375000,9/6/2017,,,"Apartment","Quai  des  niches  69 1000    Bruxelles ","Ville de Bruxelles"
7150079,"1000",2,122,,450000,9/6/2017,18,0,"Apartment","1000    Bruxelles ","Ville de Bruxelles"
7146001,"1000",4,1112,260,0,9/4/2017,903,19,"House","Avenue  Louise  561 1000     Bruxelles  ville ","Ville de Bruxelles"
7144695,"1000",4,193,175,775000,9/3/2017,336,9,"House","1000    Brussels  City ","Ville de Bruxelles"
7144000,"1000",5,303,180,720000,9/2/2017,515,7,"House","Rue  Leys  44A 1000    Brussels  City ","Ville de Bruxelles"
7142485,"1000",4,230,127,749000,9/1/2017,,,"House","1000    Brussels  City ","Ville de Bruxelles"
7142421,"1000",2,78,,316909,9/1/2017,,,"Apartment","Rue  Boduognat 1000    BRUXELLES ","Ville de Bruxelles"
7142417,"1000",3,142,,595000,9/1/2017,,,"Apartment","Square  MarieLouise  58 1000    BRUXELLES ","Ville de Bruxelles"
7140152,"1000",2,115,,555000,8/31/2017,148,1,"Apartment","Rue  Dansaert  85 1000    Bruxelles ","Ville de Bruxelles"
7139140,"1000",3,150,49,320000,8/31/2017,,,"Building","Chauss  de  Louvain  354 1000    Brussels  City ","Ville de Bruxelles"
7135057,"1000",6,295,,710000,8/28/2017,263,10,"House","1000    BRUXELLES ","Ville de Bruxelles"
7129976,"1000",2,150,,575000,8/24/2017,,,"Apartment","1000    BRUXELLES ","Ville de Bruxelles"
7125748,"1000",4,165,,315000,8/22/2017,165,8,"Apartment","1000    BRUXELLES ","Ville de Bruxelles"
7123045,"1000",2,113,,375000,8/20/2017,1779,11,"Apartment","rue  du  Pont  Neuf  30 1000    Brussels  City ","Ville de Bruxelles"
7121367,"1000",2,77,,316909,8/18/2017,265,2,"Apartment","Boduognat   1000    Bruxelles ","Ville de Bruxelles"
7121249,"1000",6,410,210,838000,8/18/2017,504,3,"House","1000    BRUXELLES ","Ville de Bruxelles"
7121238,"1000",3,180,58,515000,8/18/2017,701,9,"House","Rue  SaintQuentin  22 1000    Bruxelles ","Ville de Bruxelles"
7111605,"1000",2,135,,575000,8/10/2017,36,1,"Apartment","Quai  des  niches  69 1000    BRUXELLES ","Ville de Bruxelles"
7111598,"1000",3,139,,635000,8/10/2017,30,1,"Apartment","Rue  Jacques  de  Lalaing 1000    BRUXELLES ","Ville de Bruxelles"
7111595,"1000",2,81,,325000,8/10/2017,59,1,"Apartment","Rue  du  Nord 1000    BRUXELLES ","Ville de Bruxelles"
7111565,"1000",2,90,,266475,8/10/2017,75,0,"Apartment","Rue  Willems  45 1000    BRUXELLES ","Ville de Bruxelles"
7111564,"1000",2,87,,230375,8/10/2017,179,2,"Apartment","Rue  Willems  45 1000    BRUXELLES ","Ville de Bruxelles"
7111288,"1000",3,300,,985000,8/10/2017,101,3,"House","Rue  des  Palais  42 1000    Bruxelles   ","Ville de Bruxelles"
7104010,"1000",2,87,,270000,8/5/2017,87,2,"Apartment","Square  Marguerite  14 1000    Bruxelles ","Ville de Bruxelles"
7102360,"1000",2,81,,325000,8/4/2017,49,0,"Apartment","Rue  du  nord  14 1000    Bruxelles ","Ville de Bruxelles"
7101577,"1000",8,225,88,495000,8/3/2017,251,10,"Apartment","1000    BRUXELLES ","Ville de Bruxelles"
7097663,"1000",5,920,1000,1350000,8/1/2017,181,2,"House","1000    Bruxelles ","Ville de Bruxelles"
7093797,"1000",2,85,,285000,7/28/2017,1019,15,"Apartment","Rue  des  Eburons  37  box4 1000    Brussels  City ","Ville de Bruxelles"
7091778,"1000",3,125,,395000,7/27/2017,260,6,"Apartment","Square  Marguerite   1000     bruxelles ","Ville de Bruxelles"
7091776,"1000",8,500,,850000,7/27/2017,921,13,"House","rue  Newton   1000    Bruxelles ","Ville de Bruxelles"
7089140,"1000",5,270,149,995000,7/25/2017,1536,9,"House","Rue  Bordiau  26 1000    Bruxelles ","Ville de Bruxelles"
7087233,"1000",2,110,,349000,7/23/2017,829,10,"Apartment","Rue  Arlon  44 1000    Bruxelles ","Ville de Bruxelles"
7086796,"1000",2,97,,355000,7/22/2017,320,3,"Apartment","Rue  Froissart  79 1000    Bruxelles ","Ville de Bruxelles"
7086092,"1000",3,295,115,680000,7/21/2017,596,9,"Building","Rue  des  Foulons  30 1000    Brussels  City ","Ville de Bruxelles"
7081152,"1000",2,126,,525000,7/17/2017,,,"House","rue  du  pin  19 1000    BRUXELLES ","Ville de Bruxelles"
7075039,"1000",2,135,,575000,7/12/2017,8,0,"Apartment","Quai  des  niches  69 1000    BRUXELLES ","Ville de Bruxelles"
7075004,"1000",2,90,,266475,7/12/2017,9,1,"Apartment","Rue  Willems  45 1000     BRUXELLES ","Ville de Bruxelles"
7075001,"1000",3,115,,272000,7/12/2017,1,0,"Apartment","Rue  du  veloppement 1000    BRUXELLES ","Ville de Bruxelles"
7074710,"1000",9,410,20,990000,7/12/2017,780,12,"Apartment","1000    BRUXELLES ","Ville de Bruxelles"
7074171,"1000",2,98,,200000,7/12/2017,210,2,"Apartment","Rue  du  veloppement 1000    BRUXELLES ","Ville de Bruxelles"
7074170,"1000",3,116,,300000,7/12/2017,35,0,"Apartment","Rue  du  veloppement 1000    BRUXELLES ","Ville de Bruxelles"
7074169,"1000",2,85,,393000,7/12/2017,13,0,"Apartment","Place  Jean  Jacobs   1000    BRUXELLES ","Ville de Bruxelles"
7074018,"1000",4,176,,490000,7/12/2017,118,5,"House","1000    BRUXELLES ","Ville de Bruxelles"
7072789,"1000",2,190,,699000,7/11/2017,81,0,"Apartment","Rue  du  Lac  38 1000    Bruxelles ","Ville de Bruxelles"
7069647,"1000",3,220,,680000,7/9/2017,,,"Apartment","Dansaertstraat  79 1000    Brussel ","Ville de Bruxelles"
7069137,"1000",3,140,,440000,7/8/2017,133,11,"Apartment","1000    Bruxelles ","Ville de Bruxelles"
7064962,"1000",3,150,,475000,7/5/2017,10,1,"Apartment","1000    BRUXELLES ","Ville de Bruxelles"
7062137,"1000",2,95,,334500,7/4/2017,106,3,"House","Quai  des  Peniches  44 1000    Bruxelles ","Ville de Bruxelles"
7061293,"1000",4,245,165,449000,7/3/2017,768,19,"House","1000    BRUXELLES ","Ville de Bruxelles"
7058577,"1000",3,190,,995000,7/1/2017,79,1,"Apartment","1000    Ixelles ","Ville de Bruxelles"
7057907,"1000",12,450,81,780000,6/30/2017,330,7,"Building","Rue  Borgval  15 1000    BRUXELLES ","Ville de Bruxelles"
7057127,"1000",5,350,178,675000,6/30/2017,802,24,"House","Rue  de  Gravelines  22 1000    Brussels  City ","Ville de Bruxelles"
7057020,"1000",2,420,,1750000,6/30/2017,157,0,"Apartment","1000    Bruxelles ","Ville de Bruxelles"
7056559,"1000",4,220,,750000,6/30/2017,323,3,"House","1000    Bruxelles ","Ville de Bruxelles"
7056171,"1000",4,350,76,995000,6/30/2017,213,0,"Building","1000    BRUXELLES ","Ville de Bruxelles"
7055688,"1000",7,326,210,929000,6/29/2017,706,12,"House","Rue  Locquenghien  straat  43 1000    Brussels  City ","Ville de Bruxelles"
7053429,"1000",7,775,237,1690000,6/28/2017,273,4,"Apartment","1000    Bruxelles ","Ville de Bruxelles"
7053428,"1000",7,775,237,1690000,6/28/2017,199,0,"House","1000    Bruxelles ","Ville de Bruxelles"
7052052,"1000",2,90,,290000,6/27/2017,594,9,"Apartment","1000    BRUXELLES ","Ville de Bruxelles"
7051188,"1000",3,240,115,435000,6/26/2017,1100,36,"House","1000    Bruxelles ","Ville de Bruxelles"
7048868,"1000",3,107,,455000,6/24/2017,321,1,"Apartment","1000    Bruxelles ","Ville de Bruxelles"
7048420,"1000",4,303,180,750000,6/23/2017,1250,8,"House","Rue  Leys  44A 1000    Bruxelles  ville ","Ville de Bruxelles"
7044416,"1000",3,150,,580000,6/21/2017,1340,25,"House","Rue  Locquenghien  43 1000    Brussels  City ","Ville de Bruxelles"
7039651,"1000",2,106,,475000,6/19/2017,105,0,"Apartment","Rue  Jacques  de  Lalaing 1000    BRUXELLES ","Ville de Bruxelles"
7039648,"1000",2,106,,389000,6/19/2017,188,1,"Apartment","Rue  Jacques  de  Lalaing 1000    BRUXELLES ","Ville de Bruxelles"
7039644,"1000",3,139,,635000,6/19/2017,137,1,"Apartment","Rue  Jacques  de  Lalaing 1000    BRUXELLES ","Ville de Bruxelles"
7032934,"1000",2,86,,395000,6/15/2017,384,8,"Apartment","Rue  de  Flandre 1000    Bruxelles ","Ville de Bruxelles"
7024398,"1000",2,105,,380000,6/9/2017,65,1,"Apartment","Quai  des  niches  69 1000    BRUXELLES ","Ville de Bruxelles"
7024394,"1000",2,80,,330000,6/9/2017,47,0,"Apartment","Rue  du  Nord 1000    BRUXELLES ","Ville de Bruxelles"
7022172,"1000",2,136,,560000,6/9/2017,117,2,"Apartment","1000     Bruxelles ","Ville de Bruxelles"
7019623,"1000",6,218,85,350000,6/7/2017,5032,83,"House","1000    Brussels  City ","Ville de Bruxelles"
7017512,"1000",7,775,237,1690000,6/6/2017,843,3,"House","1000    BRUXELLES   ","Ville de Bruxelles"
7017334,"1000",2,268,,535000,6/6/2017,,,"Apartment","1000    BRUXELLES ","Ville de Bruxelles"
7014450,"1000",3,122,,350000,6/3/2017,717,9,"Apartment","Rue  du  Gouvernement  Provisoire   1000    Bruxelles ","Ville de Bruxelles"
7007455,"1000",4,260,73,465000,5/30/2017,2713,39,"House","Vlaamsesteenweg  31 1000    Brussels   City ","Ville de Bruxelles"
7000871,"1000",5,348,158,1190000,5/24/2017,70,0,"House","Rue  de  Ruysbroeck  86 1000    Bruxelles  ville ","Ville de Bruxelles"
6997243,"1000",5,285,270,425000,5/22/2017,1031,41,"House","Rue  du  Cardinal  53 1000     Bruxelles ","Ville de Bruxelles"
6995280,"1000",3,167,,570000,5/20/2017,193,1,"Apartment","Quai  des  niches  69 1000    Bruxelles ","Ville de Bruxelles"
6994689,"1000",2,123,,415000,5/19/2017,88,0,"Apartment","Quai  des  niches  69 1000    Bruxelles ","Ville de Bruxelles"
6994676,"1000",2,106,,375000,5/19/2017,126,1,"Apartment","Quai  des  niches  69 1000    Bruxelles ","Ville de Bruxelles"
6994668,"1000",3,161,,610000,5/19/2017,72,0,"Apartment","Quai  des  niches  69 1000    Bruxelles ","Ville de Bruxelles"
6989786,"1000",9,527,225,1900000,5/17/2017,439,3,"House","Rue  aux  laines  12 1000    Bruxelles  ville ","Ville de Bruxelles"
6989441,"1000",4,200,,620000,5/17/2017,896,12,"House","Rue  Hydraulique  18 1000    Bruxelles ","Ville de Bruxelles"
6988977,"1000",2,95,,225000,5/16/2017,1261,33,"Apartment","Square   Ambiorix   23 1000    Bruxelles ","Ville de Bruxelles"
6986349,"1000",7,326,210,929000,5/15/2017,520,9,"House","1000    Bruxelles ","Ville de Bruxelles"
6986268,"1000",4,230,86,290000,5/15/2017,2271,46,"House","1000    Bruxelles ","Ville de Bruxelles"
6984333,"1000",2,103,,385000,5/13/2017,583,5,"Apartment","Montagne  de  Oratoire  28 1000    Brussels  City ","Ville de Bruxelles"
6977871,"1000",2,105,,380000,5/9/2017,294,0,"Apartment","Quai  des  niches  69 1000    BRUXELLES ","Ville de Bruxelles"
6977863,"1000",2,80,,315000,5/9/2017,429,2,"Apartment","Place  Jean  Jacobs   1000    BRUXELLES ","Ville de Bruxelles"
6977848,"1000",2,90,,266475,5/9/2017,553,10,"Apartment","Rue  Willems  45 1000    BRUXELLES ","Ville de Bruxelles"
6971990,"1000",8,225,88,495000,5/5/2017,2007,39,"Apartment","1000    BRUXELLES ","Ville de Bruxelles"
6969043,"1000",2,194,52,195000,5/4/2017,4660,40,"House","Rue  de  la  Sablonnire   1000    Bruxelles ","Ville de Bruxelles"
6965738,"1000",2,120,,424000,5/3/2017,190,0,"Apartment","Quaies  des  niches  69 1000    Bruxelles ","Ville de Bruxelles"
6965736,"1000",2,100,,329000,5/3/2017,531,8,"Apartment","Quaies  des  niches  69 1000    Bruxelles ","Ville de Bruxelles"
6964121,"1000",4,186,78,850000,5/2/2017,640,7,"House","1000    Bruxelles ","Ville de Bruxelles"
6956612,"1000",8,320,110,500000,4/26/2017,3951,99,"House","Rue  Stevin  162 1000    Bruxelles ","Ville de Bruxelles"
6955501,"1000",3,,,465000,4/25/2017,73,2,"House","Rue  de  Flandre 1000    Bruxelles ","Ville de Bruxelles"
6954286,"1000",6,433,800,2575000,4/25/2017,866,6,"House","1000    Bruxelles ","Ville de Bruxelles"
6951932,"1000",4,400,,695000,4/22/2017,347,8,"Apartment","Quai  des  Charbonnages   1000    Brussels  City ","Ville de Bruxelles"
6951531,"1000",3,122,,395000,4/22/2017,390,7,"Apartment","Rue  du  Gouvernement  Provisoire   1000    Bruxelles ","Ville de Bruxelles"
6951530,"1000",2,140,,429000,4/22/2017,364,10,"Apartment","1000    Bruxelles ","Ville de Bruxelles"
6951529,"1000",2,95,,360000,4/22/2017,415,3,"Apartment","Rue  Montagne  de  Oratoire  28 1000    Bruxelles ","Ville de Bruxelles"
6951101,"1000",6,290,100,648000,4/21/2017,923,8,"House","Rue  de  Pavie   1000    BRUXELLES ","Ville de Bruxelles"
6950985,"1000",4,105,,249000,4/21/2017,1412,43,"Apartment","1000    BRUXELLES ","Ville de Bruxelles"
6942366,"1000",2,109,,416000,4/15/2017,363,2,"House","1000    Brussels  City ","Ville de Bruxelles"
6937728,"1000",3,300,,985000,4/12/2017,1179,9,"House","Rue  des  Palais  42 1000    Bruxelles   ","Ville de Bruxelles"
6937246,"1000",5,200,73,490000,4/12/2017,4391,44,"Apartment","RUE  DE  LA  SABLONIERE   1000    Brussels  City ","Ville de Bruxelles"
6935836,"1000",4,169,,399000,4/11/2017,2010,35,"House","Quai  des  Charbonnages  68 1000    Bruxelles ","Ville de Bruxelles"
6931751,"1000",3,758,171,2900000,4/7/2017,885,3,"Building","1000    Bruxelles ","Ville de Bruxelles"
6930304,"1000",2,162,,697000,4/6/2017,381,2,"Apartment","rue  du  pin  16 1000    Bruxelles ","Ville de Bruxelles"
6927112,"1000",2,105,,380000,4/4/2017,319,2,"Apartment","Quai  des  niches  69 1000    BRUXELLES ","Ville de Bruxelles"
6923395,"1000",5,230,90,295000,4/1/2017,8496,109,"House","Rue  Cuerens  15 1000     Bruxelles  ville ","Ville de Bruxelles"
6923239,"1000",2,120,,395000,4/1/2017,972,7,"Apartment","Rue  Philippe   Le  Bon   1000    Bruxelles  ville ","Ville de Bruxelles"
6921675,"1000",6,497,1500,3000000,3/31/2017,1282,7,"House","1000    Uccle ","Ville de Bruxelles"
6921672,"1000",6,720,863,3900000,3/31/2017,1054,4,"House","1000    Ixelles ","Ville de Bruxelles"
6921671,"1000",6,450,515,1450000,3/31/2017,588,7,"House","1000    Bruxelles ","Ville de Bruxelles"
6921668,"1000",5,800,450,4600000,3/31/2017,2084,11,"House","1000    Ixelles ","Ville de Bruxelles"
6921663,"1000",6,731,375,1590000,3/31/2017,873,9,"House","1000    Ixelles ","Ville de Bruxelles"
6917483,"1000",2,170,,460000,3/28/2017,,,"Apartment","Rouppestraat   1000    Brussels  City ","Ville de Bruxelles"
6916833,"1000",5,920,1000,1350000,3/28/2017,,,"House","1000    Bruxelles ","Ville de Bruxelles"
6915539,"1000",5,380,200,730000,3/27/2017,,,"House","1000    Bruxelles ","Ville de Bruxelles"
6912684,"1000",2,118,,380000,3/24/2017,617,1,"Apartment","Emile  Jacqmainlaan  134 1000    Brussels  City ","Ville de Bruxelles"
6910376,"1000",3,130,,469000,3/23/2017,132,1,"Apartment","1000    BRUXELLES ","Ville de Bruxelles"
6909836,"1000",4,200,,720000,3/23/2017,178,4,"House","1000    Bruxelles ","Ville de Bruxelles"
6906360,"1000",2,108,,580000,3/21/2017,95,1,"Apartment","1000    Bruxelles ","Ville de Bruxelles"
6902362,"1000",4,240,,780000,3/17/2017,755,15,"House","1000    BRUXELLES ","Ville de Bruxelles"
6902087,"1000",6,720,,3900000,3/17/2017,191,1,"House","1000    BRUXELLES ","Ville de Bruxelles"
6901558,"1000",3,140,,638000,3/17/2017,47,2,"Apartment","1000     Bruxelles ","Ville de Bruxelles"
6901278,"1000",3,120,,525000,3/16/2017,199,0,"House","Rue  du  Boulet   1000    Bruxelles ","Ville de Bruxelles"
6900801,"1000",6,410,210,950000,3/16/2017,649,2,"House","1000    BRUXELLES ","Ville de Bruxelles"
6898854,"1000",3,107,,415000,3/15/2017,678,4,"Apartment","Chauss  Etterbeek  57 1000    Brussels  City ","Ville de Bruxelles"
6897911,"1000",3,105,,289950,3/14/2017,854,28,"Apartment","Boulevard  Charlemagne  92 1000    Bruxelles  ville ","Ville de Bruxelles"
6893844,"1000",3,157,,399000,3/11/2017,280,4,"House","1000    BRUXELLES ","Ville de Bruxelles"
6893842,"1000",4,328,,1050000,3/11/2017,88,0,"House","1000    BRUXELLES ","Ville de Bruxelles"
6893841,"1000",4,176,,540000,3/11/2017,196,8,"House","1000    BRUXELLES ","Ville de Bruxelles"
6893559,"1000",3,115,,272000,3/11/2017,,,"Apartment","Rue  du  veloppement 1000    BRUXELLES ","Ville de Bruxelles"
6890679,"1000",6,420,,1990000,3/9/2017,,,"House","1000    Bruxelles ","Ville de Bruxelles"
6888921,"1000",2,100,,365000,3/8/2017,179,3,"Apartment","rue  de  Dinant  11 1000    Brussels  City ","Ville de Bruxelles"
6888371,"1000",3,145,,575000,3/7/2017,183,4,"Apartment","1000    Bruxelles  ville ","Ville de Bruxelles"
6884450,"1000",7,320,210,1198000,3/4/2017,410,5,"House","Rue  Locquenghien  43 1000     ","Ville de Bruxelles"
6883820,"1000",2,100,,299000,3/4/2017,528,3,"Apartment","Rue  Argent  16204 1000    Bruxelles ","Ville de Bruxelles"
6883578,"1000",13,750,,2640000,3/4/2017,175,0,"Apartment","1000    Bruxelles ","Ville de Bruxelles"
6880290,"1000",2,110,,349000,3/1/2017,437,9,"Apartment","Rue  Arlon  44 1000    Bruxelles ","Ville de Bruxelles"
6878101,"1000",4,186,78,895000,2/28/2017,411,5,"House","1000    Bruxelles ","Ville de Bruxelles"
6874022,"1000",4,295,,830000,2/25/2017,55,0,"House","1000    Bruxelles ","Ville de Bruxelles"
6872034,"1000",3,220,,695000,2/24/2017,66,1,"Apartment","1000    Bruxelles ","Ville de Bruxelles"
6871439,"1000",7,225,88,595000,2/23/2017,323,8,"Apartment","1000    BRUXELLES ","Ville de Bruxelles"
6869058,"1000",2,95,,385000,2/22/2017,122,1,"Apartment","1000    Bruxelles ","Ville de Bruxelles"
6867222,"1000",2,120,,595000,2/21/2017,125,0,"Apartment","1000    Bruxelles ","Ville de Bruxelles"
6865632,"1000",4,300,276,915000,2/20/2017,383,18,"House","1000    BRUXELLES   ","Ville de Bruxelles"
6863621,"1000",4,150,,570000,2/18/2017,656,16,"Apartment","Rue  Antoine  Dansaert  143 1000    Bruxelles ","Ville de Bruxelles"
6860716,"1000",2,160,,449000,2/16/2017,192,4,"Apartment","Quai  aux  Pierres  de  Taille  39 1000    Bruxelles ","Ville de Bruxelles"
6857452,"1000",3,,,445000,2/14/2017,107,0,"House","Rue  de  Flandre 1000    Bruxelles ","Ville de Bruxelles"
